Timestamp,1. Department (বিভাগ),2. Which academic year are you currently in?(আপনি বর্তমানে কোন শিক্ষাবর্ষে অধ্যয়ন করছেন?),3. Which digital device do you use most frequently?(আপনি কোন ডিজিটাল ডিভাইসটি সবচেয়ে বেশি ব্যবহার করেন?),4. How many hours per day do you use digital devices?(প্রতিদিন আপনি কত ঘণ্টা ডিজিটাল ডিভাইস ব্যবহার করেন?),5. How many hours per day do you use digital devices for academic activities?(প্রতিদিন একাডেমিক কার্যক্রমের জন্য আপনি কত ঘণ্টা ডিজিটাল ডিভাইস ব্যবহার করেন?),6. Which activity takes most of your non-academic digital time?(অ-পাঠ্যক্রমিক ডিজিটাল ব্যবহারের মধ্যে কোন কাজে আপনি সবচেয়ে বেশি সময় দেন?) [Social Media],6. Which activity takes most of your non-academic digital time?(অ-পাঠ্যক্রমিক ডিজিটাল ব্যবহারের মধ্যে কোন কাজে আপনি সবচেয়ে বেশি সময় দেন?) [Messaging],6. Which activity takes most of your non-academic digital time?(অ-পাঠ্যক্রমিক ডিজিটাল ব্যবহারের মধ্যে কোন কাজে আপনি সবচেয়ে বেশি সময় দেন?) [YouTube / Video Streaming],6. Which activity takes most of your non-academic digital time?(অ-পাঠ্যক্রমিক ডিজিটাল ব্যবহারের মধ্যে কোন কাজে আপনি সবচেয়ে বেশি সময় দেন?) [Gaming],6. Which activity takes most of your non-academic digital time?(অ-পাঠ্যক্রমিক ডিজিটাল ব্যবহারের মধ্যে কোন কাজে আপনি সবচেয়ে বেশি সময় দেন?) [Browsing / News],7. How often do you use generative AI tools(Claude/ChatGPT etc.) for academic purposes? (আপনি একাডেমিক বা পড়াশোনার কাজে কত ঘন ঘন Generative AI টুল ব্যবহার করেন?),8. How frequently do you use generative AI for the following academic activities?(নিচের একাডেমিক কার্যক্রমগুলোতে আপনি কত ঘন ঘন Generative AI ব্যবহার করেন?) [Understanding Theory/Lab Lecture],8. How frequently do you use generative AI for the following academic activities?(নিচের একাডেমিক কার্যক্রমগুলোতে আপনি কত ঘন ঘন Generative AI ব্যবহার করেন?) [Writing Lab or Other Reports],8. How frequently do you use generative AI for the following academic activities?(নিচের একাডেমিক কার্যক্রমগুলোতে আপনি কত ঘন ঘন Generative AI ব্যবহার করেন?) [Exam Preparation],8. How frequently do you use generative AI for the following academic activities?(নিচের একাডেমিক কার্যক্রমগুলোতে আপনি কত ঘন ঘন Generative AI ব্যবহার করেন?) [Understanding Research Papers],8. How frequently do you use generative AI for the following academic activities?(নিচের একাডেমিক কার্যক্রমগুলোতে আপনি কত ঘন ঘন Generative AI ব্যবহার করেন?) [Presentation Preparation],9. I engage in other digital activities while doing academic activities.(একাডেমিক কার্যক্রমের সময় আমি অন্যান্য ডিজিটাল কার্যক্রমে যুক্ত থাকি।),10. Notifications interrupt my concentration during academic activities(একাডেমিক কার্যক্রমের সময় নোটিফিকেশন আমার মনোযোগে বিঘ্ন ঘটায়),11. I check my devices without a specific reason during academic activities.(একাডেমিক কার্যক্রমের সময় কোনো নির্দিষ্ট কারণ ছাড়াই আমি আমার ডিভাইস দেখি।),12. I switch to digital entertainment while doing academic activities.(একাডেমিক কার্যক্রমের সময় আমি ডিজিটাল বিনোদনের দিকে চলে যাই।),13. I use digital devices longer than I intended.(আমি ইচ্ছার চেয়ে বেশি সময় ডিজিটাল ডিভাইস ব্যবহার করি।),14. I find it difficult to stop using digital devices.(ডিজিটাল ডিভাইস ব্যবহার বন্ধ করা আমার জন্য কঠিন।),15. The use of digital devices shortly before sleep reduces total sleep duration. (ঘুমানোর ঠিক আগে ডিজিটাল ডিভাইসের ব্যবহার মোট ঘুমের সময় কমিয়ে দেয়।),16. What time do you usually go to sleep at night?(আপনি সাধারণত রাতে কখন ঘুমাতে যান?),17. What time do you usually wake up in the morning?(আপনি সাধারণত সকালে কখন ঘুম থেকে ওঠেন?),"18. Do you usually have a second sleep period during the day or at another time?
(আপনি কি সাধারণত দিনে বা অন্য কোনো সময় দ্বিতীয়বার ঘুমান?)","19. If Yes, What time does your second sleep usually start?(হ্যাঁ হলে, আপনার দ্বিতীয়বার ঘুমানো সাধারণত কখন শুরু হয়?","20. If Yes, What time do you usually wake up from your second sleep?(হ্যাঁ হলে, দ্বিতীয়বার ঘুমানোর পর আপনি সাধারণত কখন ঘুম থেকে ওঠেন?)",21. What is your current CGPA?(আপনার বর্তমান CGPA কত?)
8/18/2026 13:08:18,ME,1st Year,Smartphone,5 - 8 hours,4 - 6 hours,2,2,2,2,2,2,2,2,2,1-Occasionally,1-Occasionally,2,2,2,2,2,2,2,11PM-12AM,6AM-7AM,No,,,3.50–3.74
8/18/2026 13:16:39,CSE,2nd Year,Laptop,More than  8 hours,2 - 4 hours,2,1-Minimum Time,4,1-Minimum Time,3-Moderate Time,5,5-Mostly Dependent on AI,5-Mostly Dependent on AI,4,3-Moderately,4,3,2,4,2,3,3,4,11PM-12AM,7AM-8AM,Yes,5:15:00 PM,6:30:00 PM,3.75–4.00
8/18/2026 13:21:57,CSE,1st Year,Desktop Computer,5 - 8 hours,4 - 6 hours,4,3-Moderate Time,1-Minimum Time,2,3-Moderate Time,4,3-Moderately,5-Mostly Dependent on AI,4,3-Moderately,4,2,3,4,4,4,3,4,After 1AM,7AM-8AM,Yes,4:45:00 PM,6:45:00 PM,3.75–4.00
8/18/2026 13:23:23,CSE,1st Year,Smartphone,5 - 8 hours,2 - 4 hours,5-Most Time,5-Most Time,5-Most Time,2,4,4,3-Moderately,5-Mostly Dependent on AI,3-Moderately,3-Moderately,3-Moderately,3,3,5,4,5,4,3,After 1AM,7AM-8AM,Yes,4:00:00 PM,5:15:00 PM,Below 3.00
8/18/2026 13:26:34,CSE,1st Year,Laptop,2 - 5 hours,2 - 4 hours,3-Moderate Time,1-Minimum Time,2,1-Minimum Time,2,1,1-Occasionally,3-Moderately,3-Moderately,2,2,3,1,1,1,2,1,3,10PM-11PM,6AM-7AM,No,,,3.50–3.74
8/18/2026 13:29:11,CSE,2nd Year,Desktop Computer,5 - 8 hours,2 - 4 hours,3-Moderate Time,3-Moderate Time,2,2,4,3,5-Mostly Dependent on AI,5-Mostly Dependent on AI,2,2,5-Mostly Dependent on AI,2,3,2,2,2,3,4,11PM-12AM,5AM-6AM,No,,,3.25–3.49
8/18/2026 13:36:44,CSE,1st Year,Laptop,5 - 8 hours,2 - 4 hours,2,3-Moderate Time,4,3-Moderate Time,1-Minimum Time,4,5-Mostly Dependent on AI,4,4,2,5-Mostly Dependent on AI,4,4,2,3,4,3,3,11PM-12AM,5AM-6AM,Yes,5:00:00 PM,7:00:00 PM,3.75–4.00
8/18/2026 13:36:49,CSE,2nd Year,Smartphone,More than  8 hours,4 - 6 hours,4,4,4,5-Most Time,4,3,4,5-Mostly Dependent on AI,3-Moderately,2,4,4,5,5,3,3,5,5,After 1AM,7AM-8AM,Yes,3:00:00 PM,4:00:00 PM,3.25–3.49
8/18/2026 13:39:11,CSE,1st Year,Laptop,More than  8 hours,4 - 6 hours,3-Moderate Time,2,4,5-Most Time,4,4,4,4,5-Mostly Dependent on AI,2,3-Moderately,3,4,3,4,5,4,5,After 1AM,7AM-8AM,Yes,3:00:00 PM,4:00:00 PM,3.00–3.24
8/18/2026 13:39:58,CSE,2nd Year,Laptop,5 - 8 hours,4 - 6 hours,4,3-Moderate Time,3-Moderate Time,3-Moderate Time,3-Moderate Time,2,3-Moderately,3-Moderately,4,5-Mostly Dependent on AI,4,3,4,4,3,4,5,3,11PM-12AM,7AM-8AM,Yes,4:45:00 PM,6:45:00 PM,3.25–3.49
8/18/2026 13:40:52,CSE,2nd Year,Laptop,Less than 2 hour,Less than 1 hour,2,4,3-Moderate Time,2,3-Moderate Time,4,4,2,2,4,4,2,2,2,2,3,1,5,12AM-1AM,6AM-7AM,No,,,3.25–3.49
8/18/2026 13:41:38,CSE,2nd Year,Laptop,More than  8 hours,4 - 6 hours,1-Minimum Time,2,2,2,3-Moderate Time,4,3-Moderately,4,4,3-Moderately,4,1,2,2,4,2,4,4,11PM-12AM,5AM-6AM,No,,,3.50–3.74
8/18/2026 13:42:51,CSE,2nd Year,Laptop,More than  8 hours,Less than 1 hour,4,5-Most Time,5-Most Time,3-Moderate Time,2,5,3-Moderately,4,4,3-Moderately,4,4,4,4,4,4,4,5,After 1AM,After 8AM,Yes,4:15:00 PM,5:15:00 PM,3.25–3.49
8/18/2026 13:42:56,CSE,1st Year,Smartphone,5 - 8 hours,2 - 4 hours,4,4,4,1-Minimum Time,3-Moderate Time,4,4,5-Mostly Dependent on AI,3-Moderately,2,4,4,4,4,3,5,4,3,12AM-1AM,7AM-8AM,Yes,4:15:00 PM,5:00:00 PM,3.25–3.49
8/18/2026 13:44:59,CSE,1st Year,Desktop Computer,More than  8 hours,2 - 4 hours,5-Most Time,4,5-Most Time,4,2,3,2,5-Mostly Dependent on AI,4,1-Occasionally,3-Moderately,4,5,4,3,5,5,4,After 1AM,After 8AM,Yes,4:30:00 PM,6:00:00 PM,3.00–3.24
8/18/2026 13:45:10,CSE,2nd Year,Laptop,More than  8 hours,2 - 4 hours,2,3-Moderate Time,4,2,3-Moderate Time,3,4,3-Moderately,4,3-Moderately,3-Moderately,4,3,3,2,2,3,3,10PM-11PM,7AM-8AM,Yes,4:45:00 PM,5:45:00 PM,3.25–3.49
8/18/2026 13:46:20,CSE,2nd Year,Desktop Computer,More than  8 hours,2 - 4 hours,4,5-Most Time,4,3-Moderate Time,3-Moderate Time,3,4,5-Mostly Dependent on AI,4,2,5-Mostly Dependent on AI,4,3,5,3,5,5,5,11PM-12AM,After 8AM,Yes,3:30:00 PM,5:15:00 PM,Below 3.00
8/18/2026 14:00:43,CSE,2nd Year,Laptop,More than  8 hours,More than 7 hours,3-Moderate Time,4,4,5-Most Time,4,3,4,2,4,3-Moderately,3-Moderately,4,5,3,3,5,5,5,After 1AM,After 8AM,Yes,5:15:00 PM,6:15:00 PM,3.25–3.49
8/18/2026 14:01:24,CSE,1st Year,Laptop,More than  8 hours,2 - 4 hours,4,4,5-Most Time,5-Most Time,4,4,3-Moderately,5-Mostly Dependent on AI,3-Moderately,2,2,4,4,5,3,5,4,4,After 1AM,After 8AM,No,,,3.25–3.49
8/18/2026 14:01:32,CSE,1st Year,Laptop,5 - 8 hours,4 - 6 hours,1-Minimum Time,2,2,1-Minimum Time,5-Most Time,5,3-Moderately,2,3-Moderately,3-Moderately,4,2,3,4,3,3,2,3,11PM-12AM,7AM-8AM,No,,,3.75–4.00
8/18/2026 14:04:12,CSE,3rd Year,Smartphone,5 - 8 hours,4 - 6 hours,5-Most Time,4,5-Most Time,2,4,2,4,5-Mostly Dependent on AI,4,3-Moderately,5-Mostly Dependent on AI,3,5,2,4,5,4,4,After 1AM,7AM-8AM,Yes,3:30:00 PM,4:45:00 PM,Below 3.00
8/18/2026 14:12:10,CSE,2nd Year,Laptop,5 - 8 hours,2 - 4 hours,4,3-Moderate Time,3-Moderate Time,2,3-Moderate Time,5,4,3-Moderately,5-Mostly Dependent on AI,3-Moderately,4,4,2,3,2,2,3,5,11PM-12AM,5AM-6AM,Yes,4:00:00 PM,5:45:00 PM,3.00–3.24
8/18/2026 14:12:51,CSE,2nd Year,Desktop Computer,5 - 8 hours,4 - 6 hours,2,2,1-Minimum Time,3-Moderate Time,4,4,4,4,4,4,4,3,3,2,1,3,2,3,11PM-12AM,6AM-7AM,No,,,3.50–3.74
8/18/2026 14:16:12,EEE,2nd Year,Smartphone,5 - 8 hours,2 - 4 hours,3-Moderate Time,2,5-Most Time,4,4,4,5-Mostly Dependent on AI,3-Moderately,5-Mostly Dependent on AI,3-Moderately,3-Moderately,5,4,4,3,4,5,5,12AM-1AM,After 8AM,No,,,Below 3.00
8/18/2026 14:25:23,CSE,1st Year,Laptop,More than  8 hours,4 - 6 hours,2,3-Moderate Time,2,1-Minimum Time,4,5,3-Moderately,4,2,3-Moderately,5-Mostly Dependent on AI,1,2,3,1,2,3,3,After 1AM,6AM-7AM,No,,,3.75–4.00
8/18/2026 14:32:09,BME,4th Year,Laptop,5 - 8 hours,2 - 4 hours,1-Minimum Time,2,2,1-Minimum Time,4,4,5-Mostly Dependent on AI,3-Moderately,4,5-Mostly Dependent on AI,4,1,3,2,2,1,3,5,11PM-12AM,6AM-7AM,No,,,3.75–4.00
8/18/2026 14:35:39,ECE,1st Year,Laptop,2 - 5 hours,4 - 6 hours,1-Minimum Time,2,3-Moderate Time,2,1-Minimum Time,3,2,3-Moderately,2,2,3-Moderately,2,1,1,2,3,2,2,11PM-12AM,6AM-7AM,No,,,3.25–3.49
8/18/2026 14:36:34,ME,4th Year,Desktop Computer,More than  8 hours,2 - 4 hours,4,3-Moderate Time,4,5-Most Time,4,4,5-Mostly Dependent on AI,5-Mostly Dependent on AI,3-Moderately,2,3-Moderately,4,3,5,4,5,3,3,After 1AM,7AM-8AM,Yes,3:30:00 PM,5:30:00 PM,Below 3.00
8/18/2026 14:38:16,ECE,2nd Year,Tablet / iPad,2 - 5 hours,Less than 1 hour,4,5-Most Time,2,1-Minimum Time,2,4,4,5-Mostly Dependent on AI,3-Moderately,1-Occasionally,4,2,1,3,4,4,3,4,11PM-12AM,6AM-7AM,Yes,5:00:00 PM,6:15:00 PM,3.00–3.24
8/18/2026 14:39:24,CSE,3rd Year,Smartphone,5 - 8 hours,Less than 1 hour,5-Most Time,4,3-Moderate Time,3-Moderate Time,1-Minimum Time,4,4,3-Moderately,4,3-Moderately,5-Mostly Dependent on AI,4,4,3,4,5,5,5,After 1AM,After 8AM,No,,,3.00–3.24
8/18/2026 14:43:32,CSE,2nd Year,Smartphone,2 - 5 hours,2 - 4 hours,2,1-Minimum Time,3-Moderate Time,1-Minimum Time,1-Minimum Time,2,1-Occasionally,3-Moderately,1-Occasionally,1-Occasionally,1-Occasionally,2,2,1,1,1,2,2,10PM-11PM,6AM-7AM,Yes,5:30:00 PM,6:45:00 PM,3.75–4.00
8/18/2026 14:43:57,CSE,3rd Year,Laptop,2 - 5 hours,More than 7 hours,2,2,3-Moderate Time,1-Minimum Time,3-Moderate Time,4,4,4,3-Moderately,3-Moderately,3-Moderately,1,1,2,1,3,2,2,12AM-1AM,7AM-8AM,No,,,3.75–4.00
8/18/2026 14:44:08,ME,2nd Year,Laptop,5 - 8 hours,4 - 6 hours,3-Moderate Time,3-Moderate Time,4,1-Minimum Time,3-Moderate Time,3,4,4,5-Mostly Dependent on AI,2,3-Moderately,2,1,3,1,3,2,3,10PM-11PM,7AM-8AM,Yes,3:15:00 PM,5:15:00 PM,3.25–3.49
8/18/2026 14:44:37,EEE,1st Year,Smartphone,More than  8 hours,2 - 4 hours,3-Moderate Time,5-Most Time,4,3-Moderate Time,2,4,3-Moderately,3-Moderately,3-Moderately,3-Moderately,4,3,2,3,3,4,2,3,After 1AM,6AM-7AM,Yes,4:30:00 PM,6:00:00 PM,3.50–3.74
8/18/2026 14:47:14,CSE,3rd Year,Desktop Computer,2 - 5 hours,2 - 4 hours,3-Moderate Time,4,5-Most Time,3-Moderate Time,3-Moderate Time,5,3-Moderately,4,5-Mostly Dependent on AI,2,5-Mostly Dependent on AI,3,4,2,3,3,2,4,11PM-12AM,7AM-8AM,Yes,4:00:00 PM,4:45:00 PM,3.50–3.74
8/18/2026 14:48:31,CSE,4th Year,Laptop,5 - 8 hours,4 - 6 hours,5-Most Time,3-Moderate Time,4,3-Moderate Time,3-Moderate Time,4,4,4,3-Moderately,3-Moderately,4,5,4,5,4,5,5,3,12AM-1AM,After 8AM,Yes,3:15:00 PM,4:15:00 PM,3.50–3.74
8/18/2026 14:49:24,CSE,2nd Year,Laptop,More than  8 hours,2 - 4 hours,4,4,3-Moderate Time,1-Minimum Time,3-Moderate Time,3,5-Mostly Dependent on AI,4,3-Moderately,2,3-Moderately,3,4,3,2,5,3,5,11PM-12AM,5AM-6AM,No,,,3.25–3.49
8/18/2026 14:50:14,CSE,1st Year,Laptop,2 - 5 hours,2 - 4 hours,3-Moderate Time,3-Moderate Time,4,3-Moderate Time,3-Moderate Time,5,4,3-Moderately,5-Mostly Dependent on AI,4,5-Mostly Dependent on AI,2,3,1,3,3,5,3,12AM-1AM,6AM-7AM,No,,,3.25–3.49
8/18/2026 14:54:12,CSE,4th Year,Laptop,2 - 5 hours,Less than 1 hour,1-Minimum Time,2,3-Moderate Time,2,1-Minimum Time,2,2,3-Moderately,1-Occasionally,3-Moderately,1-Occasionally,1,1,2,2,1,1,3,10PM-11PM,5AM-6AM,No,,,3.50–3.74
8/18/2026 14:55:12,CSE,1st Year,Laptop,5 - 8 hours,Less than 1 hour,5-Most Time,2,2,3-Moderate Time,2,4,3-Moderately,4,5-Mostly Dependent on AI,3-Moderately,4,2,2,1,2,5,4,4,11PM-12AM,6AM-7AM,No,,,3.50–3.74
8/18/2026 14:58:35,CE,2nd Year,Laptop,More than  8 hours,4 - 6 hours,2,3-Moderate Time,2,2,4,4,3-Moderately,4,5-Mostly Dependent on AI,4,5-Mostly Dependent on AI,2,3,2,1,3,2,3,After 1AM,7AM-8AM,No,,,3.50–3.74
8/18/2026 15:22:10,CSE,1st Year,Smartphone,More than  8 hours,Less than 1 hour,4,2,4,3-Moderate Time,3-Moderate Time,3,5-Mostly Dependent on AI,3-Moderately,5-Mostly Dependent on AI,2,4,4,5,4,3,5,4,5,After 1AM,After 8AM,No,,,3.00–3.24
8/18/2026 15:28:02,IEM,1st Year,Smartphone,5 - 8 hours,Less than 1 hour,5-Most Time,5-Most Time,4,3-Moderate Time,2,5,3-Moderately,5-Mostly Dependent on AI,5-Mostly Dependent on AI,2,5-Mostly Dependent on AI,3,5,4,4,3,4,4,After 1AM,6AM-7AM,Yes,3:15:00 PM,5:00:00 PM,3.00–3.24
8/18/2026 15:28:03,ECE,1st Year,Laptop,5 - 8 hours,2 - 4 hours,3-Moderate Time,3-Moderate Time,4,3-Moderate Time,3-Moderate Time,4,4,4,4,2,4,4,4,3,2,1,4,4,12AM-1AM,5AM-6AM,No,,,3.25–3.49
8/18/2026 15:29:00,EEE,1st Year,Desktop Computer,2 - 5 hours,4 - 6 hours,3-Moderate Time,3-Moderate Time,3-Moderate Time,3-Moderate Time,3-Moderate Time,2,3-Moderately,5-Mostly Dependent on AI,3-Moderately,2,4,2,2,3,2,3,3,4,After 1AM,6AM-7AM,Yes,5:15:00 PM,6:45:00 PM,3.25–3.49
8/18/2026 15:29:54,BME,2nd Year,Smartphone,2 - 5 hours,2 - 4 hours,2,3-Moderate Time,4,5-Most Time,5-Most Time,3,3-Moderately,4,4,3-Moderately,4,2,2,3,5,3,2,5,After 1AM,After 8AM,Yes,5:30:00 PM,6:30:00 PM,3.75–4.00
8/18/2026 15:48:30,EEE,1st Year,Tablet / iPad,2 - 5 hours,2 - 4 hours,4,1-Minimum Time,3-Moderate Time,1-Minimum Time,3-Moderate Time,3,4,2,4,3-Moderately,5-Mostly Dependent on AI,3,3,2,1,4,3,5,12AM-1AM,6AM-7AM,No,,,3.25–3.49
8/18/2026 15:51:14,CE,2nd Year,Laptop,2 - 5 hours,2 - 4 hours,1-Minimum Time,1-Minimum Time,3-Moderate Time,1-Minimum Time,3-Moderate Time,2,1-Occasionally,3-Moderately,2,3-Moderately,2,1,2,3,2,2,3,3,10PM-11PM,6AM-7AM,No,,,3.50–3.74
8/18/2026 15:51:26,EEE,3rd Year,Laptop,5 - 8 hours,4 - 6 hours,4,3-Moderate Time,3-Moderate Time,3-Moderate Time,3-Moderate Time,2,3-Moderately,5-Mostly Dependent on AI,4,3-Moderately,2,2,1,3,2,3,3,4,12AM-1AM,7AM-8AM,No,,,3.00–3.24
8/18/2026 15:53:11,CSE,2nd Year,Smartphone,More than  8 hours,Less than 1 hour,4,4,5-Most Time,4,2,4,5-Mostly Dependent on AI,3-Moderately,3-Moderately,3-Moderately,3-Moderately,3,3,3,3,5,3,3,After 1AM,After 8AM,No,,,3.25–3.49
8/18/2026 15:53:38,CSE,1st Year,Laptop,5 - 8 hours,4 - 6 hours,3-Moderate Time,4,2,3-Moderate Time,3-Moderate Time,4,4,4,5-Mostly Dependent on AI,1-Occasionally,3-Moderately,4,3,4,4,3,4,3,12AM-1AM,After 8AM,Yes,4:45:00 PM,6:15:00 PM,3.25–3.49
8/18/2026 15:54:28,ME,2nd Year,Laptop,5 - 8 hours,4 - 6 hours,5-Most Time,4,3-Moderate Time,2,3-Moderate Time,2,3-Moderately,4,2,2,3-Moderately,2,4,4,3,3,4,4,11PM-12AM,7AM-8AM,No,,,3.25–3.49
8/18/2026 15:56:58,EEE,3rd Year,Smartphone,5 - 8 hours,2 - 4 hours,2,3-Moderate Time,2,3-Moderate Time,4,4,2,5-Mostly Dependent on AI,4,2,4,3,3,3,2,3,3,3,After 1AM,7AM-8AM,No,,,3.25–3.49
8/18/2026 15:58:39,CE,1st Year,Desktop Computer,5 - 8 hours,More than 7 hours,2,2,5-Most Time,5-Most Time,4,4,3-Moderately,4,4,3-Moderately,3-Moderately,3,4,5,4,5,4,2,After 1AM,After 8AM,Yes,3:30:00 PM,5:15:00 PM,3.00–3.24
8/18/2026 15:59:06,EEE,1st Year,Laptop,2 - 5 hours,2 - 4 hours,3-Moderate Time,3-Moderate Time,1-Minimum Time,1-Minimum Time,2,2,2,2,1-Occasionally,1-Occasionally,2,1,1,2,2,2,2,3,11PM-12AM,5AM-6AM,Yes,5:15:00 PM,6:30:00 PM,3.50–3.74
8/18/2026 16:14:07,BME,4th Year,Laptop,5 - 8 hours,Less than 1 hour,4,4,5-Most Time,4,2,3,4,5-Mostly Dependent on AI,5-Mostly Dependent on AI,3-Moderately,3-Moderately,3,3,5,5,5,5,5,12AM-1AM,7AM-8AM,Yes,4:00:00 PM,5:30:00 PM,Below 3.00
8/18/2026 16:18:17,CSE,2nd Year,Laptop,5 - 8 hours,Less than 1 hour,5-Most Time,5-Most Time,5-Most Time,3-Moderate Time,3-Moderate Time,4,3-Moderately,5-Mostly Dependent on AI,3-Moderately,3-Moderately,3-Moderately,5,4,5,4,3,5,4,After 1AM,After 8AM,Yes,3:30:00 PM,5:00:00 PM,3.50–3.74
8/18/2026 16:27:28,CE,1st Year,Laptop,More than  8 hours,4 - 6 hours,1-Minimum Time,1-Minimum Time,2,1-Minimum Time,2,4,4,4,4,3-Moderately,4,2,1,3,1,2,2,3,12AM-1AM,5AM-6AM,Yes,4:00:00 PM,5:30:00 PM,3.75–4.00
8/18/2026 16:28:16,CE,1st Year,Desktop Computer,More than  8 hours,4 - 6 hours,2,4,4,3-Moderate Time,2,4,4,3-Moderately,4,4,4,1,3,2,2,3,2,4,12AM-1AM,6AM-7AM,No,,,3.25–3.49
8/18/2026 16:33:08,CSE,2nd Year,Laptop,5 - 8 hours,2 - 4 hours,2,2,2,1-Minimum Time,3-Moderate Time,3,3-Moderately,2,2,2,1-Occasionally,2,1,2,1,4,1,3,10PM-11PM,7AM-8AM,No,,,3.75–4.00
8/18/2026 16:42:39,ME,4th Year,Laptop,More than  8 hours,More than 7 hours,3-Moderate Time,2,2,1-Minimum Time,4,4,3-Moderately,3-Moderately,2,5-Mostly Dependent on AI,3-Moderately,3,3,1,2,3,2,4,12AM-1AM,7AM-8AM,Yes,4:30:00 PM,6:15:00 PM,3.50–3.74
8/18/2026 16:43:27,CSE,2nd Year,Laptop,More than  8 hours,4 - 6 hours,2,3-Moderate Time,3-Moderate Time,3-Moderate Time,3-Moderate Time,5,5-Mostly Dependent on AI,5-Mostly Dependent on AI,2,3-Moderately,4,3,3,1,2,1,4,3,11PM-12AM,5AM-6AM,Yes,3:30:00 PM,5:15:00 PM,3.50–3.74
8/18/2026 16:44:13,EEE,2nd Year,Laptop,5 - 8 hours,2 - 4 hours,2,4,4,3-Moderate Time,2,3,5-Mostly Dependent on AI,4,2,2,4,4,3,1,3,3,1,1,12AM-1AM,After 8AM,No,,,Below 3.00
8/18/2026 16:49:31,EEE,3rd Year,Smartphone,5 - 8 hours,2 - 4 hours,3-Moderate Time,4,3-Moderate Time,3-Moderate Time,3-Moderate Time,5,3-Moderately,3-Moderately,4,2,5-Mostly Dependent on AI,3,3,3,4,4,3,5,12AM-1AM,5AM-6AM,No,,,3.25–3.49
8/18/2026 16:52:16,CE,1st Year,Desktop Computer,2 - 5 hours,2 - 4 hours,4,2,4,3-Moderate Time,4,4,3-Moderately,4,5-Mostly Dependent on AI,2,3-Moderately,4,3,2,2,3,3,4,12AM-1AM,5AM-6AM,No,,,3.00–3.24
8/18/2026 16:52:19,ME,1st Year,Laptop,2 - 5 hours,4 - 6 hours,1-Minimum Time,1-Minimum Time,3-Moderate Time,2,4,4,5-Mostly Dependent on AI,3-Moderately,4,3-Moderately,3-Moderately,3,3,2,2,3,4,4,12AM-1AM,5AM-6AM,No,,,3.75–4.00
8/18/2026 16:52:39,CSE,1st Year,Desktop Computer,More than  8 hours,More than 7 hours,2,2,3-Moderate Time,1-Minimum Time,3-Moderate Time,4,5-Mostly Dependent on AI,4,2,3-Moderately,3-Moderately,3,3,3,1,3,1,4,12AM-1AM,7AM-8AM,No,,,3.50–3.74
8/18/2026 16:58:29,EEE,2nd Year,Smartphone,More than  8 hours,Less than 1 hour,5-Most Time,4,4,2,2,4,2,5-Mostly Dependent on AI,4,3-Moderately,3-Moderately,5,5,5,4,5,3,4,After 1AM,After 8AM,Yes,4:30:00 PM,6:00:00 PM,Below 3.00
8/18/2026 17:14:46,EEE,4th Year,Desktop Computer,2 - 5 hours,2 - 4 hours,2,3-Moderate Time,1-Minimum Time,1-Minimum Time,2,3,1-Occasionally,2,5-Mostly Dependent on AI,2,3-Moderately,1,1,1,1,2,2,3,10PM-11PM,6AM-7AM,No,,,3.50–3.74
8/18/2026 17:16:29,CSE,1st Year,Laptop,5 - 8 hours,More than 7 hours,2,3-Moderate Time,3-Moderate Time,1-Minimum Time,2,5,5-Mostly Dependent on AI,4,4,1-Occasionally,4,2,3,3,4,3,4,4,11PM-12AM,6AM-7AM,Yes,4:15:00 PM,5:00:00 PM,3.25–3.49
8/18/2026 17:20:27,CSE,1st Year,Laptop,5 - 8 hours,2 - 4 hours,2,1-Minimum Time,3-Moderate Time,1-Minimum Time,2,3,1-Occasionally,3-Moderately,2,1-Occasionally,3-Moderately,1,1,2,2,2,3,3,11PM-12AM,5AM-6AM,Yes,4:30:00 PM,5:15:00 PM,3.75–4.00
8/18/2026 17:23:49,ECE,3rd Year,Laptop,More than  8 hours,More than 7 hours,3-Moderate Time,4,4,2,3-Moderate Time,5,4,3-Moderately,3-Moderately,3-Moderately,4,1,3,2,2,2,5,5,12AM-1AM,5AM-6AM,Yes,5:15:00 PM,6:15:00 PM,3.50–3.74
8/18/2026 17:36:52,CSE,2nd Year,Desktop Computer,2 - 5 hours,More than 7 hours,1-Minimum Time,3-Moderate Time,4,3-Moderate Time,3-Moderate Time,5,5-Mostly Dependent on AI,3-Moderately,3-Moderately,5-Mostly Dependent on AI,4,3,2,1,2,3,1,3,11PM-12AM,6AM-7AM,No,,,3.25–3.49
8/18/2026 17:55:46,ME,1st Year,Smartphone,5 - 8 hours,4 - 6 hours,3-Moderate Time,2,4,2,2,5,4,4,3-Moderately,3-Moderately,4,3,4,4,4,4,4,5,11PM-12AM,7AM-8AM,No,,,3.25–3.49
8/18/2026 18:05:10,CSE,2nd Year,Smartphone,5 - 8 hours,4 - 6 hours,3-Moderate Time,3-Moderate Time,2,2,3-Moderate Time,5,5-Mostly Dependent on AI,2,4,3-Moderately,4,2,4,3,1,2,2,4,After 1AM,6AM-7AM,No,,,3.50–3.74
